job_id,job_title,role_type,salary_min,salary_max,salary_avg,salary_range,rating,company_name,city,state,industry,sector,company_size,revenue,founded,type_of_ownership,easy_apply,has_sql,has_python,has_excel,has_tableau,has_powerbi,seniority
1590,"Oracle EBS Finance Functional Consultant","Business Analyst",45000,100000,72500,55000,4.7,"Resource Logistics, Inc. 4.7","San Antonio",TX,"Logistics & Supply Chain","Transportation & Logistics","51 to 200 employees","$10 to $25 million (USD)",1997,"Company - Private",-1,0,0,1,0,0,Mid-Level
1591,"Cyber Security Analyst - Forensic Malware Analyst - TS/SCI required","Business Analyst",45000,100000,72500,55000,3.3,"Akima Management Services 3.3","San Antonio",TX,"Aerospace & Defense","Aerospace & Defense","5001 to 10000 employees","$1 to $2 billion (USD)",2003,"Company - Private",-1,0,1,0,0,0,Mid-Level
1592,"Senior Cyber Strategic Intelligence Analyst (remote home office virtual eligible)","Business Analyst",45000,100000,72500,55000,3.6,"Humana 3.6","San Antonio",TX,"Insurance Carriers",Insurance,"10000+ employees","$10+ billion (USD)",1961,"Company - Public",-1,0,0,1,0,0,Senior
1593,"Workforce Management Analyst","Business Analyst",45000,100000,72500,55000,NULL,"Accenture Contractor Jobs","San Antonio",TX,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,Mid-Level
1594,"Sr. Territory Business Manager, San Antonio, TX","Business Analyst",45000,100000,72500,55000,NULL,"Biogen Alzheimers","San Antonio",TX,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,Senior
1595,"Contract Spec/Administrator/Negotiator, Procurement Analyst (Supvy/Non/Lead)","Business Analyst",45000,100000,72500,55000,2.7,"General Services Administration 2.7","San Antonio",TX,"Federal Agencies",Government,"1 to 50 employees","Unknown / Non-Applicable",-1,Government,-1,0,0,0,0,0,Senior
1596,"SAS/SQL Analyst","Business Analyst",45000,100000,72500,55000,3.7,"Cognizant 3.7","San Antonio",TX,-1,-1,"10000+ employees","$10+ billion (USD)",1994,"Company - Public",-1,1,1,1,0,0,Mid-Level
1597,"Technical Business Analyst - Salesforce","Business Analyst",46000,90000,68000,44000,2.8,"Center for Sustainable Energy 2.8","San Diego",CA,Energy,"Oil, Gas, Energy & Utilities","51 to 200 employees","$50 to $100 million (USD)",1996,"Nonprofit Organization",-1,0,0,0,1,0,Mid-Level
1598,"Business Analyst - My Info","Business Analyst",46000,90000,68000,44000,3.9,"Sempra Energy 3.9","San Diego",CA,Energy,"Oil, Gas, Energy & Utilities","10000+ employees","$10 to $25 million (USD)",1998,"Company - Public",-1,0,0,1,0,0,Mid-Level
1599,"Data Analyst","Business Analyst",46000,90000,68000,44000,3.4,"Midland Credit Management 3.4","San Diego",CA,"Banks & Credit Unions",Finance,"1001 to 5000 employees","$1 to $2 billion (USD)",1953,"Subsidiary or Business Segment",-1,1,1,1,0,0,Mid-Level
1600,"Business Intelligence Developer (Tableau)","Business Analyst",46000,90000,68000,44000,3.5,"GreatCall 3.5","San Diego",CA,"Telecommunications Services",Telecommunications,"1001 to 5000 employees","Unknown / Non-Applicable",2006,"Company - Public",-1,1,0,1,1,0,Mid-Level
1601,"Cost Analyst, Mid-Level - DoD","Business Analyst",46000,90000,68000,44000,4.7,"Cobec Consulting 4.7","San Diego",CA,Consulting,"Business Services","51 to 200 employees","$10 to $25 million (USD)",2007,"Company - Private",True,0,0,1,0,0,Mid-Level
1602,"Senior Business Analyst","Business Analyst",46000,90000,68000,44000,4.3,"Aya Healthcare 4.3","San Diego",CA,"Staffing & Outsourcing","Business Services","501 to 1000 employees","$500 million to $1 billion (USD)",2001,"Company - Private",True,1,0,0,0,0,Senior
1603,"Credit Analyst","Business Analyst",46000,90000,68000,44000,3.0,"California Bank & Trust 3.0","San Diego",CA,"Banks & Credit Unions",Finance,"1001 to 5000 employees","$100 to $500 million (USD)",1998,"Subsidiary or Business Segment",-1,0,0,0,0,0,Mid-Level
1604,"Business Analyst Internship","Business Analyst",46000,90000,68000,44000,4.2,"Bainbridge, Inc. 4.2","San Diego",CA,Consulting,"Business Services","51 to 200 employees","$5 to $10 million (USD)",-1,"Company - Private",-1,0,0,1,0,0,Mid-Level
1605,"Entry Level Business Analyst","Business Analyst",46000,90000,68000,44000,4.0,"NetCloudTek 4.0","San Diego",CA,-1,-1,"51 to 200 employees","Unknown / Non-Applicable",-1,"Company - Private",-1,0,0,1,0,0,Junior
1606,"Business Analyst I","Business Analyst",46000,90000,68000,44000,2.5,"MedImpact 2.5","San Diego",CA,Wholesale,"Business Services","1001 to 5000 employees","$10 to $25 million (USD)",1989,"Company - Private",-1,0,0,1,0,0,Mid-Level
1607,"Business Systems Analyst","Business Analyst",46000,90000,68000,44000,4.2,"CyberCoders 4.2","San Diego",CA,"Staffing & Outsourcing","Business Services","201 to 500 employees","$100 to $500 million (USD)",1999,"Subsidiary or Business Segment",-1,1,0,1,0,0,Mid-Level
1608,"Business Process Analyst 1","Business Analyst",46000,90000,68000,44000,2.8,"Genex Services 2.8","San Diego",CA,"Health Care Services & Hospitals","Health Care","1001 to 5000 employees","$50 to $100 million (USD)",1978,"Company - Private",-1,0,0,1,0,0,Mid-Level
1609,"Senior Business Intelligence Developer (Tableau)","Business Analyst",46000,90000,68000,44000,3.5,"GreatCall 3.5","San Diego",CA,"Telecommunications Services",Telecommunications,"1001 to 5000 employees","Unknown / Non-Applicable",2006,"Company - Public",-1,1,0,1,1,0,Senior
1610,"Business Process Analyst 1","Business Analyst",46000,90000,68000,44000,2.9,"Mitchell 2.9","San Diego",CA,-1,-1,"1 to 50 employees","Unknown / Non-Applicable",-1,"Company - Private",-1,0,0,1,0,0,Mid-Level
1611,"Compliance Analyst- Ad Review","Business Analyst",46000,90000,68000,44000,3.0,"Cetera Financial Group 3.0","San Diego",CA,"Investment Banking & Asset Management",Finance,"1001 to 5000 employees","Unknown / Non-Applicable",2010,"Company - Private",-1,0,0,0,0,0,Mid-Level
1612,"Jr business analyst","Business Analyst",46000,90000,68000,44000,5.0,"Ellianse 5.0","San Diego",CA,-1,-1,"51 to 200 employees","Unknown / Non-Applicable",-1,"Company - Public",-1,0,0,1,0,0,Junior
1613,"Business Analyst","Business Analyst",46000,90000,68000,44000,NULL,Talentry,"San Diego",CA,"IT Services","Information Technology","1 to 50 employees","Unknown / Non-Applicable",2014,"Private Practice / Firm",-1,0,0,0,0,0,Mid-Level
1614,"Business & Strategy Research Analyst Intern","Business Analyst",46000,90000,68000,44000,4.0,"Analytics Ventures 4.0","San Diego",CA,-1,-1,"1 to 50 employees","Unknown / Non-Applicable",-1,"Company - Private",-1,0,0,1,0,0,Mid-Level
